name,mass,unimod,residue
PropylNAGthiazoline,232.064354,514,
FNEM,427.069202,515,
Diethyl,56.062600,518,
BisANS,594.091928,519,
Piperidine,68.062600,520,
Maleimide-PEO2-Biotin,525.225719,522,
Sulfo-NHS-LC-LC-Biotin,452.245726,523,
Dethiomethyl,-48.003371,526,
Methyl+Deamidated,14.999666,528,
Dibromo,155.821022,534,
LRGG,383.228103,535,
